Stelzenläufer
Großer Brachvogel
Strandläufer
Waldschnepfe
Kleinspecht
Wiedehopf
Buntspecht
Goldammer
Storch
Bekassine
Graureiher
Seidenreiher
Kranich
Steinadler
Fischadler
Seeadler
Tannenhäher
Eichelhäher
Elster
Dunkelwasserläufer
Rotschenkel
Haubenmeise
Rotkelchen
Graudrossel
Waldkauz
Eule
Uhu
Amsel
Kiebitz
Goldammer
